file_label,house_no,store_code,store_name,address,svc_date,svc_type,event_type,time_in,time_out,tech,license,invoice,amount,tax,total_due,observations,distinct_observations,open_actions,has_live_activity,pest_types,program_id,comments
261,261,US00020,21st & 3rd,261 3rd Ave,7/25/2026,PC Standard - Monthly,PC Standard,12:17 PM,12:40 PM,RICHARD FLORES,C2901532,304501080,90.00,7.99,97.99,1,1,1,False,,16595918,"What I saw no activity any place in the store, what o did Im inspected and sprayed alpine gsw liquid drains floor and drains sink, back storage area, restroom garbage area,front counter and dining room also Im replaced glue traps no activity found thank you for your consideration"
369,369,US00015,41st & Lexington,369 Lexington Ave,7/9/2026,PC Standard - Monthly,PC Standard,10:54 AM,11:42 AM,JESUS JUAREZ,C2904403,304501160,90.00,7.99,97.99,1,1,1,False,,16595925,"Upon arrival, I checked in with the store manager, who reported seeing a mouse running around in the back of the store. I immediately performed a thorough inspection of the designated back area, paying close attention to corners, baseboards, and behind equipment. During this inspection, I found no active signs of rodent activity, such as fresh droppings, nesting materials, or rub marks. To prevent any future entry, I identified several potential access points and sealed them completely using steel wool. Specifically, I sealed a small hole in the tile flooring surrounding a white electrical cable penetration. I also packed a gap leading into an open section of a floor drain grate to prevent pests from traveling up through the line. Additionally, I sealed a tight gap found behind a structural junction against the wall paneling, and securely stuffed the open space surrounding a black utility pipe where it penetrates through the textured wall. As a proactive monitoring and trapping measure, I successfully installed two Tin Cat multi-catch mouse traps in strategic locations throughout the back area. I will check these devices during our next scheduled service to monitor for any activity and ensure the perimeter remains secure."
401,401,US00019,29th & 3rd,401 3rd Ave,7/25/2026,PC Standard - Monthly,PC Standard,11:35 AM,11:57 AM,RICHARD FLORES,C2901532,304501256,90.00,7.99,97.99,1,1,1,False,,16595937,"What I saw no activity, what I did Im inspected and sprayed alpine gsw liquid back storage, drains floor and drains sink, restroom, front counter, garbage room and replaced glue traps thank you for your cooperation"
410,410,US00008,33rd & 10th,410 10th Ave,7/30/2026,PC Standard - Monthly,PC Standard,10:45 AM,11:29 AM,CHRIS DELGADO,,304501360,90.00,7.99,97.99,1,1,0,True,Flies,16595949,"What I saw: live fruit flies inside cafe drain . What I did: fly knockdown, inspected all common areas, tincats, restroom, cafe, kitchen, preparation area, , storage area, treated all drains with Actiyme foam What I recommend: keep all kitchen and drain areas clean to prevent future activity thank you"
488,488,US00027,52nd & Madison,488 Madison Ave,7/18/2026,PC Standard - Monthly,PC Standard,10:53 AM,1:22 PM,FANOR RAMIREZ,,304501460,90.00,7.99,97.99,1,1,0,True,House Flies,16595960,"Checked in with yeilin. She mentioned flies have been seen under the check out counters close to the drain. I then treated under all appliances with wsg mixed with igr, and also added glueboard monitors. I also inspected all tincats, replacing all glueboards. What I recommend. To keep all areas clean and organized . Thank you."
550,550,US00018,40th & 10th,550 10th Ave,7/27/2026,PC Standard - Monthly,PC Standard,11:57 AM,12:37 PM,IVAN HRUSHOVENKO,,304502278,90.00,7.99,97.99,1,1,0,False,,16596071,"I spoke with Barnie he had fly concerns in the production area by the counter so l inspected and treated perimeter with ecopco. I conducted a thorough inspection of the kitchen perimeter, office area, storage area, break room,common areas, closet area, boiler area, and counter area. No signs of pest activity were observed at this time.Alpine WSG was applied to the kitchen perimeter, storage area, break room,common areas, office area, restrooms, and counter area. All glue boards, including tin cats, were replaced."
555,555,US00012,16th & 6th,555 Avenue Of The Americas,7/21/2026,PC Standard - Monthly,PC Standard,9:19 AM,9:48 AM,SIMON LI,C2906519,304502403,90.00,7.99,97.99,1,1,1,False,,16596090,"Spoke to Nell about issues or concerns. What was seen: No signs of issues, concerns, or pest activity were present. What was done: common areas, service counters, beverage dispensers, ice machine, storage areas, mechanical rooms, office areas, break rooms, and restrooms were inspected and treated for pest activity. Inspected and treated drains, cracks and crevices with alpine Wsg solution. Inspected and replaced glue boards. Recommend: Please organize and keep all areas, especially beneath kitchen equipment, clear of clutter, food debris, and spills. Thank you for your understanding and cooperation."
755,755,US00001,8th & Broadway,755 Broadway,7/8/2026,PC Standard - Monthly,PC Standard,2:31 PM,2:52 PM,FANOR RAMIREZ,,304502596,90.00,7.99,97.99,1,1,1,False,,16596111,"All areas inspected. All tincats, inspected and all glueboards replaced . Treated under dish washing areas with wsg , what I recommend. To keep all areas clean and organized. Thank you."
770,770,US00009,48th & 3rd,770 3rd Ave,7/11/2026,PC Standard - Monthly,PC Standard,1:30 PM,1:56 PM,JESUS JUAREZ,C2904403,304635521,90.00,7.99,397.40,1,1,0,True,Fruit Flies,16613760,"Upon arrival, I checked in with store manager Juliana, who reported recent sightings of flying insects throughout the retail space. I initiated a comprehensive inspection of the facility, beginning with all rodent monitoring stations. A thorough check of all ""Tin Cat"" live-catch traps revealed zero activity, indicating that current rodent exclusion and baiting measures remain fully effective. Shifting focus to the flying insect issue, my inspection of the trash room revealed a localized population of small flies breeding near the waste receptacles. To address this and prevent further spread, I treated the entire trash room with Alpine WSG, a highly effective residual insecticide. As a proactive preventative measure, I also applied Alpine WSG along all baseboards throughout the back area of the store to create a protective barrier. Given the seasonal pressure and the presence of these flying pests, the current control measures need reinforcement. I highly recommend the immediate installation of at least two additional insect light traps (fly lights) in key transition zones to effectively intercept and monitor fly activity moving forward"
800,800,US00002,28th & 6th,800 Avenue Of The Americas,7/20/2026,PC Standard - Monthly,PC Standard,9:12 AM,9:51 AM,SIMON LI,C2906519,304502755,90.00,7.99,97.99,1,1,2,False,,16596128,"What was seen: Spoke to Yuki about issues concerns. Moisture issues were found in dishwasher areas, and under sinks. What was done: Cafe areas, common areas, service counters, seating areas, beverage dispensers, ice machine, dishwashing areas, storage areas, maintenance areas, office areas, break rooms, kitchen areas, and restrooms were inspected and treated for pest activity. Inspected and treated drains, cracks and crevices with alpine Wsg solution. Recommend: Please organize and keep all areas, especially beneath kitchen equipment, clear of clutter, food debris, and spills. Thank you for your understanding and cooperation."
901,901,US00005,54th & 8th,901 8th Ave,7/18/2026,PC Standard - Monthly,PC Standard,2:48 PM,3:12 PM,FANOR RAMIREZ,,304502922,90.00,7.99,97.99,1,1,0,False,Centipedes,16596147,"Arrived at location and checked in with ruyin no recent activity mentioned i then inspected all 10 cats spread throughout the back dishwashing and storage areas as well as replacing all glue board monitors and treating areas with WSG. What I recommend. To keep all areas, clean and organize. Thank you."
